owner,address,type,access,default,range,unit,kind,rate_cap,anticipatable,panic,persist,refers,description
engine,product,s,r,Go.dot,,,state,1,no,park,none,,The product name.
engine,version,s,r,,,,state,1,no,park,none,,The running build's version.
engine,tick,h,r,0,,tick,state,5,no,park,none,,The current tick index.
engine,sampleRate,i,r,0,,Hz,state,1,no,park,none,,The clock's sample rate. Observed from the device from Phase 2; not a setting.
engine,blockSize,i,r,0,,samples,state,1,no,park,none,,The audio block size the clock is being advanced by.
engine,samplesPerTick,i,r,0,,samples,state,1,no,park,none,,Samples per 50 Hz tick; the sample rate divided by 50.
engine,lateness,i,r,0,,samples,state,5,no,park,none,,"How late the last tick was processed, in samples."
engine,latenessMax,i,r,0,,samples,state,5,no,park,none,,The worst lateness since the engine started.
engine,clock,s,r,dummy,dummy|device,,state,1,no,park,none,,Which clock is advancing the sample counter.
engine,errorCount,i,r,0,,,state,5,no,park,none,,Commands rejected since the engine started.
engine,rtViolations,i,r,0,0..,,state,5,no,park,none,,"Allocations Go.dot's own code made on the audio thread since the engine started. Zero is the only acceptable value: PRD 4.2 forbids allocation there, and an allocation is a lock inside the allocator taken while a block is due. Reads zero in a build configured without the real-time checks, where nobody is looking."
engine,rtForeignAllocations,i,r,0,0..,,state,5,no,park,none,,"Allocations Tracktion made inside the audio callback since the engine started, counted separately and never hidden. Tracktion takes a shared lock every block by design; this is a measured fact about a dependency, not a defect in it."
engine,launchLatencyTicks,i,r,0,0..,,state,5,no,park,none,,"How many ticks pass between a GO being applied and the sound starting. It is not a preference: it is one tick plus however many the audio block spans, which is the smallest delay that guarantees the launch is never placed in the past and so never back-dated. Published because a designer timing a cue against light needs the number rather than a feeling about it."
engine,sequenceGapTicks,i,r,0,0..,,state,5,no,park,none,,"How many ticks pass between one member of an automatic sequence ending and the next one sounding. Two, plus the launch latency: a member reports it has ended during one tick, the scheduler sees that on the next and asks for the next member, and the launch is placed on the one after. It is the price of every decision being a logged command rather than something a hook quietly does - which is what lets a whole show replay - and it is published for the same reason the launch latency is: a designer timing a chain against light needs the number rather than a feeling about it. A sample-accurate join is what ranges are for (PRD 3.24); a sequence group is discrete cues relaunched."
engine,lastError,s,r,,,,state,5,no,park,none,,"The most recent rejection: tick, sequence, origin, reason and command. The only way an OSC client can learn that its write was refused."
engine,analysisRebuilds,i,r,0,0..,,state,5,no,park,none,,"How many times the edit-time liveness analysis has been rebuilt since the engine started. Published so that the cache behind it can be asserted by COUNTING rather than by timing (measurement M18): what the design guarantees is that a hundred publishes with nothing edited cost no rebuild at all, and a wall-clock threshold on a shared CI runner is a flaky test that teaches people to re-run the suite. The same argument as mountRebuilds in Phase 3, which is the shape this borrows."
document,path,s,r,,,,state,1,no,park,none,,The open bundle's folder.
document,name,s,r,,,,state,1,no,park,none,,The open bundle's name.
document,formatVersion,i,r,1,,,state,1,no,park,show,,The show format this document was written against.
document,dirty,T,r,false,,,state,5,no,park,none,,Whether there are unsaved changes to show.xml.
document,revision,h,r,0,,,state,5,no,park,none,,"How many times the show half of the document has changed since it was opened - what show.xml would record - counting from 1, so it never reads 0. A GO, a standby move, a focus change and every run leave it where it is, because none of them is a change to the show; an edit, an undo, a revert and a recovery all move it. A client rebuilds its picture of the show when this moves and not otherwise, which is the reason it exists: the document half of a snapshot is rebuilt whenever any command applies, so a chain of runs would otherwise have a cue list rebuilt several times a second for a show nobody edited. Read the difference for nothing - one move is a remove and an add - only whether it differs from the number a picture was built at."
